method,budget,seeds,useful_rate,finite_rate,cosine_mean,norm_ratio_mean,relative_error_mean
pcalm,48,20,0.0,1.0,0.9167006939649582,0.01087125879134464,0.9900168240070343
pcalm,64,20,0.3,1.0,0.8611283242702484,0.5272100834668356,0.6052525877952576
pcalm,80,20,0.15,1.0,0.8674431324005127,1.1884470872534645,0.6169179469347
pcalm,96,20,0.35,1.0,0.8998598247766495,1.3142149308719302,0.6238011509180069
pcalm,104,20,0.3,1.0,0.9149629145860672,1.3389124437869198,0.6062459155917168
pcalm,112,20,0.4,1.0,0.9316332101821899,1.3606781191127193,0.5820722922682762
pcalm,120,20,0.55,1.0,0.9478618144989014,1.3861617840818081,0.559347328543663
pcalm,128,20,0.5,1.0,0.9591900408267975,1.4216968258804503,0.554606856405735
pcalm,144,20,0.4,1.0,0.9631371229887009,1.5344786554637506,0.6347482442855835
pcalm,160,20,0.2,1.0,0.9563216716051102,1.6590064885329117,0.7620639100670814
pcalm_leak,48,20,0.0,1.0,0.9159805089235306,0.00945503495582476,0.9913228273391723
pcalm_leak,64,20,0.15,1.0,0.8610997438430786,0.40971144263732145,0.677132996916771
pcalm_leak,80,20,0.3,1.0,0.8672220587730408,0.8707605729800856,0.5107164844870568
pcalm_leak,96,20,0.6,1.0,0.8976569592952728,0.949285747998521,0.4614314496517181
pcalm_leak,104,20,0.65,1.0,0.9108819395303727,0.9643747022787998,0.4364700481295586
pcalm_leak,112,20,0.75,1.0,0.9245727598667145,0.9785454842397996,0.4068599335849285
pcalm_leak,120,20,0.85,1.0,0.9381052941083908,0.9929193912222312,0.3723364040255547
pcalm_leak,128,20,0.95,1.0,0.9491132259368896,1.0134961822510031,0.3412375688552856
pcalm_leak,144,20,0.9,1.0,0.9595954447984696,1.0626260327490853,0.31199270263314244
pcalm_leak,160,20,0.9,1.0,0.9625076830387116,1.1125562651651397,0.32080321609973905
spc,32,20,0.0,1.0,,0.0,1.0
spc,48,20,0.0,1.0,,0.0,1.0
spc,64,20,0.0,1.0,0.33773038695965496,4.396050780170725e-09,1.0
spc,80,20,0.0,1.0,0.8946111172437667,5.75446516808939e-07,0.9999994844198227
spc,96,20,0.0,1.0,0.8948298543691635,5.514903086671352e-06,0.9999950528144836
spc,112,20,0.0,1.0,0.8778384268283844,2.586728229425991e-05,0.999977171421051
spc,128,20,0.0,1.0,0.8646405279636383,8.159827664730794e-05,0.999929016828537
spc,144,20,0.0,1.0,0.8536376297473908,0.00019861440292198002,0.999829289317131
spc,160,20,0.0,1.0,0.8441540002822876,0.000403946896891165,0.999656480550766
spc,192,20,0.0,1.0,0.8288380742073059,0.001168206595402855,0.9990239381790161
spc,224,20,0.0,1.0,0.8162212878465652,0.00249228007511998,0.9979486733675003
spc,256,20,0.0,1.0,0.8054761409759521,0.004394741615945856,0.9964300721883774
